Zur's Weirding; FMB1; 2; Foil; 32
Scale the Heights; ZNR; 2; Foil; 202
Scalding Tarn; MH2; 1; ; 254
Scalding Cauldron; ELD; 2; ; 229
Scab-Clan Giant; DGM; 1; ; 101
Scab-Clan Charger; GTC; 1; ; 131
Saw It Coming; KHM; 1; Foil; 76
Savvy Hunter; ELD; 1; ; 200
Saving Grace; HOU; 1; ; 21
Savannah Lions; MB1; 1; ; 218
Savai Sabertooth; IKO; 5; ; 29
Savai Crystal; IKO; 2; ; 239
Savage Stomp; XLN; 1; ; 205
Savage Smash; RNA; 2; ; 203
Savage Gorger; M20; 2; ; 291
Sauroform Hybrid; RNA; 2; ; 140
Satyr's Cunning; THB; 2; ; 152
Satyr Wayfinder; ZNC; 1; ; 81
Satyr Hedonist; THS; 1; ; 174
Satyr Enchanter; M19; 1; Foil; 223
Saruli Caretaker; RNA; 1; ; 139
Sarulf, Realm Eater; KHM; 1; ; 228
Sarulf's Packmate; KHM; 5; ; 192
Sarkhan's Catharsis; WAR; 3; ; 144
Saproling Migration; DOM; 2; ; 178
Sapphire Drake; GTC; 1; ; 47
Sanitarium Skeleton; CMR; 2; ; 148
Sanitarium Skeleton; M20; 2; ; 112
Sanitarium Skeleton; SOI; 2; ; 133
Sanguine Sacrament; XLN; 2; ; 33
Sanguine Indulgence; M21; 2; ; 121
Sanguine Glorifier; RIX; 1; ; 20
Sanguine Bond; M14; 1; ; 112
Sangrophage; TSR; 1; ; 135
Sandstone Oracle; ZNC; 2; ; 116
Sandstone Bridge; BFZ; 1; ; 243
Sandblast; HOU; 1; ; 20
Sand Strangler; HOU; 2; ; 107
Sanctum Spirit; DOM; 2; ; 30
Sanctum Spirit; 2XM; 1; Foil; 30
Sanctum Seeker; XLN; 1; ; 120
Sanctum Gargoyle; 2XM; 2; ; 29
Sanctuary Raptor; MH2; 3; ; 233
Sanctuary Blade; C20; 1; ; 69
Samut, Voice of Dissent; AKH; 1; ; 205
Samut, Tyrant Smasher; WAR; 3; ; 235
Samut's Sprint; WAR; 1; ; 142
Salvager of Secrets; M19; 1; ; 70
Salvager of Ruin; M20; 1; ; 237
Salvage Scuttler; AER; 1; ; 43
Salvage Drone; BFZ; 1; ; 65
Saltcrusted Steppe; C17; 1; ; 273
Saltcrusted Steppe; TSR; 1; ; 283
Salivating Gremlins; KLD; 2; ; 129
Sakashima's Protege; CMR; 1; ; 641
Sailor of Means; CMR; 1; ; 88
Sailor of Means; XLN; 1; Foil; 73
Sailor of Means; RIX; 3; ; 49
Said // Done; MH2; 1; ; 60
Saheeli's Silverwing; WAR; 3; ; 243
Sagittars' Volley; RNA; 3; ; 138
Sage's Row Savant; RNA; 1; ; 49
Sage's Row Denizen; M20; 1; ; 73
Sage's Reverie; C18; 1; ; 72
Sage of the Falls; ELD; 1; ; 63
Sage of the Falls; ELD; 2; Foil; 63
Sage of Mysteries; THB; 1; ; 62
Sadistic Skymarcher; RIX; 2; ; 85
Saddled Rimestag; MH1; 1; ; 177
Saddleback Lagac; BBD; 1; ; 211
Sacred Cat; AKH; 1; ; 27
Ryusei, the Falling Star; C17; 1; ; 141
Ruxa, Patient Professor; C21; 1; ; 66
Rustvale Bridge; MH2; 1; ; 253
Rust Scarab; GTC; 1; ; 130
Rushed Rebirth; STX; 1; ; 351
Rush of Vitality; KLD; 1; ; 99
Rupture Spire; CMR; 1; ; 490
Runeforge Champion; KHM; 1; ; 26
Runed Crown; KHM; 2; ; 245
Runeclaw Bear; MB1; 1; ; 1320
Rune of Sustenance; KHM; 2; ; 25
Rune of Speed; KHM; 2; ; 148
Rune of Mortality; KHM; 2; ; 108
Rune of Mortality; KHM; 1; Foil; 108
Rune of Might; KHM; 2; ; 191
Rune of Flight; KHM; 4; ; 75
Run Ashore; KHM; 1; ; 74
Run Amok; DOM; 1; ; 140
Run Amok; KHM; 2; ; 147
Run Afoul; M21; 1; ; 201
Rummaging Goblin; XLN; 1; ; 160
Rumbling Ruin; RNA; 1; ; 112
Rumbling Rockslide; IKO; 3; ; 134
Rule of Law; M20; 1; ; 35
Ruinous Ultimatum; IKO; 1; ; 204
Ruin Rat; HOU; 2; ; 75
Ruin Processor; BFZ; 1; ; 12
Ruin in Their Wake; OGW; 1; ; 122
Ruin Crab; ZNR; 1; ; 75
Rugged Highlands; M20; 1; ; 250
Rubblehulk; C16; 1; ; 219
Rubblebelt Boar; GRN; 2; ; 114
Rubble Slinger; RNA; 1; ; 217
Rubble Reading; RNA; 1; ; 110
Rotwidow Pack; MH1; 1; ; 212
Rottenheart Ghoul; SOI; 2; ; 132
Rotfeaster Maggot; IMA; 1; ; 105
Rosethorn Halberd; ELD; 2; ; 175
Rosethorn Acolyte // Seasonal Ritual; ELD; 3; ; 174
Rosemane Centaur; GRN; 3; ; 197
Roots of Wisdom; KHM; 1; ; 190
Rootless Yew; KHM; 2; ; 189
Rootha, Mercurial Artist; STX; 2; ; 227
Rootbound Crag; XLN; 1; Foil; 256
Rootborn Defenses; MB1; 1; ; 214
Root Snare; M19; 1; ; 199
Root Out; SOI; 1; ; 224
Roost of Drakes; ZNR; 3; ; 74
Rookie Mistake; M21; 1; ; 66
Rona, Disciple of Gix; DOM; 1; ; 203
Rolling Thunder; BFZ; 1; ; 154
Role Reversal; WAR; 1; ; 214
Roiling Regrowth; ZNR; 3; ; 201
Roiling Regrowth; ZNR; 1; Foil; 201
Roil Eruption; ZNR; 3; ; 155
Rogue's Passage; C21; 1; ; 312
Rogue's Passage; ZNC; 1; ; 138
Rogue Refiner; AER; 1; ; 135
Rogue Class; AFR; 2; ; 230
Rockslide Sorcerer; ZNR; 1; ; 154
Roaming Ghostlight; M21; 1; ; 65
Roalesk, Apex Hybrid; WAR; 1; ; 213
Riverwise Augur; RIX; 1; ; 48
Riverglide Pathway; ZNR; 1; ; 289
River Serpent; AKH; 1; ; 66
River Hoopoe; HOU; 3; ; 143
River Heralds' Boon; XLN; 5; ; 204
River Darter; RIX; 3; ; 47
River Boa; MB1; 1; ; 1315
Ritual of Soot; GRN; 1; ; 84
Ritual of Rejuvenation; XLN; 2; ; 32
Rites of Flourishing; ZNC; 1; ; 80
Rite of Replication; C21; 1; ; 128
Rising Populace; WAR; 5; ; 29
Risen Sanctuary; RTR; 1; ; 190
Risen Riptide; ZNR; 3; ; 73
Risen Reef; M20; 1; ; 217
Rise of the Dread Marn; KHM; 1; ; 107
Rise of Extus; STX; 1; ; 226
Rise from the Grave; ZNC; 1; ; 53
Rise Again; M21; 1; ; 119
Riptide Turtle; THB; 1; ; 61
Riptide Pilferer; TSR; 2; ; 83
Riptide Crab; BBD; 2; ; 228
Ripscale Predator; M20; 1; ; 157
Riparian Tiger; KLD; 1; ; 167
Rip Apart; STX; 3; ; 225
Rip Apart; STX; 1; Foil; 225
Riot Piker; DGM; 1; ; 37
Riot Gear; GTC; 1; ; 236
Ring of Kalonia; M13; 1; ; 212
Rimewood Falls; KHM; 1; ; 266
Rimeshield Frost Giant; AFR; 3; ; 69
Rile; XLN; 2; ; 158
Riku of Two Reflections; 2XM; 1; ; 214
Righteous Blow; GRN; 2; ; 23
Rigging Runner; XLN; 2; ; 157
Riftmarked Knight; TSR; 1; ; 38
Rift Sower; MH2; 1; ; 170
Rift Sower; MH2; 1; Foil; 170
Rift Elemental; TSR; 1; ; 185
Rift Bolt; IMA; 1; ; 143
Rift Bolt; TSR; 2; ; 184
Rielle, the Everwise; IKO; 1; ; 342
Ridgescale Tusker; AER; 1; ; 121
Ridged Kusite; TSR; 1; ; 134
Ride Down; KTK; 1; ; 194
Riddlesmith; 2XM; 3; ; 65
Ribbons of Night; GK1; 2; ; 7
Rhythm of the Wild; RNA; 3; ; 201
Rhox War Monk; MB1; 1; ; 1474
Rhox Oracle; M19; 2; ; 198
Rhonas's Monument; AKH; 2; ; 236
Rhonas's Monument; MB1; 1; ; 1624
Rhizome Lurcher; GRN; 1; ; 196
Rewind; M21; 2; ; 63
Revolutionist; MH2; 1; ; 139
Revoke Existence; THB; 2; ; 34
Revitalize; KHM; 4; ; 23
Revitalize; STA; 1; ; 9
Revitalize; STA; 1; Foil; 9
Reverence; SOK; 1; ; 26
Returned Phalanx; A25; 1; ; 106
Returned Centaur; MB1; 1; ; 754
Return Upon the Tide; KHM; 1; ; 106
Return to Nature; THB; 1; ; 197
Return to Nature; WAR; 2; ; 175
Return to Dust; CMR; 1; ; 43
Return of the Wildspeaker; C21; 1; ; 205
Return of the Wildspeaker; ELD; 1; ; 172
Return from Extinction; MH1; 1; ; 104
Retriever Phoenix; STX; 1; ; 113
Retreat to Kazandu; ZNC; 1; ; 78
Retreat to Hagra; BFZ; 1; ; 121
Retreat to Emeria; ZNC; 1; ; 20
Restoration Gearsmith; KLD; 1; ; 185
Restoration Angel; TSR; 1; ; 300
Response // Resurgence; GRN; 1; ; 229
Resplendent Marshal; KHM; 1; ; 22
Resplendent Griffin; RIX; 2; ; 170
Resourceful Return; AER; 2; ; 70
Resolute Strike; ZNR; 4; ; 35
Reservoir Walker; AER; 3; ; 174
Resculpt; STX; 2; Foil; 51
Rescue; DOM; 1; ; 63
Replication Technique; C21; 1; ; 31
Replicating Ring; KHM; 5; ; 244
Repeating Barrage; XLN; 1; ; 156
Repeal; IMA; 1; ; 70
Renowned Weaponsmith; M20; 1; ; 72
Renegade's Getaway; AER; 3; ; 69
Renegade Tactics; CMR; 3; ; 195
Renegade Tactics; KLD; 1; ; 127
Renegade Map; AER; 5; ; 173
Remorseful Cleric; M19; 1; ; 33
Remember the Fallen; 2XM; 1; ; 27
Relic Vial; ZNR; 3; ; 250
Relic Sloth; STX; 4; ; 223
Relic Seeker; CMR; 1; ; 382
Relic Runner; DOM; 6; ; 62
Relic Runner; 2XM; 1; ; 63
Relic Robber; ZNR; 2; ; 153
Relic Golem; ZNR; 2; ; 249
Relic Axe; ZNR; 1; ; 248
Relic Amulet; ZNR; 1; ; 247
Relic Amulet; ZNR; 1; Foil; 247
Relentless Rats; PLIST; 1; ; 112
Relentless Raptor; RIX; 1; ; 169
Relentless Pursuit; THB; 1; ; 195
Relentless Advance; WAR; 3; ; 64
Release the Gremlins; AER; 1; ; 96
Rejuvenating Springs; CMR; 1; Foil; 709
Reject; STX; 10; ; 50
Reject; STX; 2; Foil; 50
Regrowth; MH1; 1; ; 175
Regrowth; MB1; 1; ; 1309
Regrowth; STA; 1; ; 56
Regna's Sanction; BBD; 1; ; 30
Regisaur Alpha; XLN; 1; ; 227
Regal Leosaur; IKO; 2; ; 202
Regal Leosaur; IKO; 1; Foil; 202
Refuse // Cooperate; HOU; 1; ; 156
Refocus; MB1; 1; ; 465
Reflex Sliver; TSR; 2; ; 226
Reflector Mage; MB1; 1; ; 1473
Reflective Golem; STX; 1; ; 257
Reflections of Littjara; KHM; 3; ; 73
Reef Worm; C21; 1; ; 127
Reduce to Memory; STX; 3; ; 25
Reduce to Ashes; SOI; 2; ; 176
Redcap Raiders; ELD; 1; ; 136
Redcap Melee; ELD; 1; ; 135
Recover; RIX; 1; ; 84
Reconstruct History; STX; 1; ; 222
Reconnaissance Mission; IKO; 1; ; 65
Reclusive Artificer; MB1; 1; ; 1472
Reclamation Sage; CMR; 1; ; 248
Reclaiming Vines; BFZ; 1; ; 185
Reclaim the Wastes; ZNR; 4; ; 200
Reckless Wurm; MB1; 1; ; 1036
Reckless Wurm; TSR; 1; ; 181
Reckless Rage; RIX; 1; ; 110
Reckless Racer; AER; 1; ; 95
Reckless Crew; KHM; 1; ; 146
Reckless Charge; MH1; 1; ; 144
Reckless Amplimancer; STX; 4; ; 141
Reckless Amplimancer; STX; 1; Foil; 141
Recalibrate; MH2; 3; ; 57
Rebbec, Architect of Ascension; CMR; 1; ; 42
Reaver Ambush; RIX; 1; ; 83
Reave Soul; ELD; 2; ; 103
Reason // Believe; HOU; 1; ; 154
Reaper's Talisman; AFR; 2; ; 117
Reaper of Night // Harvest Fear; ELD; 3; ; 102
Reaper of Flight Moonsilver; SOI; 2; ; 36
Realmwalker; KHM; 1; ; 188
Reality Acid; TSR; 2; ; 81
Ready // Willing; DGM; 1; ; 132
Read the Tides; M21; 1; ; 62
Read the Runes; PLIST; 1; ; 314
Read the Bones; ORI; 1; ; 114
Razortip Whip; GTC; 2; ; 235
Razortide Bridge; MH2; 2; ; 252
Razaketh's Rite; HOU; 1; ; 74
Ray of Enfeeblement; AFR; 1; ; 116
Raving Oni-Slave; SOK; 1; ; 86
Ravenous Trap; FMB1; 1; Foil; 42
Ravenous Squirrel; MH2; 1; ; 211
Ravenous Squirrel; MH2; 1; Foil; 375
Ravenous Lindwurm; KHM; 4; ; 187
Ravenous Lindwurm; KHM; 1; Foil; 187
Ravenous Harpy; M19; 1; ; 115
Ravenous Chupacabra; RIX; 1; ; 82
Ravenform; KHM; 1; ; 72
Ravenform; KHM; 1; Foil; 72
Raven Wings; KHM; 4; ; 243
Raven Wings; KHM; 1; Foil; 243
Ravager's Mace; ZNR; 2; ; 235
Raugrin Triome; IKO; 1; ; 311
Raugrin Crystal; IKO; 1; ; 238
Rathi Trapper; TSR; 1; ; 133
Rat Colony; DOM; 1; ; 101
Raptor Hatchling; XLN; 1; ; 155
Raptor Companion; BBD; 1; ; 102
Raptor Companion; XLN; 1; ; 31
Raptor Companion; RIX; 2; ; 19
Rapid Hybridization; C21; 1; ; 126
Rapacious Dragon; M20; 1; ; 153
Rank Officer; MH1; 1; ; 102
Ranging Raptors; XLN; 1; ; 201
Ranger's Longbow; AFR; 1; ; 203
Ranger's Hawk; AFR; 2; ; 37
Ranger's Guile; MB1; 1; ; 1305
Rancid Rats; SOI; 1; ; 130
Ramunap Excavator; HOU; 1; ; 129
Rampant Growth; C21; 1; ; 204
Rampaging Rendhorn; RNA; 1; ; 135
Rampaging Hippo; HOU; 1; ; 128
Rampaging Cyclops; DOM; 3; ; 139
Rampaging Baloths; C21; 1; ; 203
Rampaging Baloths; ZNC; 1; ; 77
Ram Through; IKO; 2; ; 170
Rally to Battle; RNA; 2; ; 18
Rally the Ranks; KHM; 1; ; 20
Rally of Wings; WAR; 2; ; 27
Ral's Outburst; WAR; 1; ; 212
Rakshasa Debaser; CMR; 1; ; 146
Rakish Heir; C17; 1; ; 140
Raking Claws; IKO; 1; ; 131
Rakdos, the Showstopper; RNA; 1; ; 199
Rakdos Roustabout; RNA; 2; ; 198
Rakdos Locket; RNA; 3; ; 237
Rakdos Keyrune; RTR; 1; ; 232
Rakdos Headliner; MH2; 2; ; 210
Rakdos Headliner; MH2; 1; ; 374
Rakdos Headliner; MH2; 1; Foil; 210
Rakdos Guildgate; RNA; 1; ; 255
Rakdos Guildgate; RNA; 1; ; 256
Rakdos Guildgate; RTR; 2; ; 244
Rakdos Cluestone; DGM; 1; ; 143
Rakdos Carnarium; GK2; 4; ; 77
Raise the Draugr; KHM; 2; ; 105
Raiders' Karve; KHM; 4; ; 242
Raging Swordtooth; XLN; 2; ; 226
Raging Kronch; WAR; 2; ; 141
Rage-Scarred Berserker; THB; 1; ; 113
Rage of Purphoros; THS; 1; ; 137
Rafter Demon; RNA; 1; ; 196
Raff Capashen, Ship's Mage; MB1; 1; ; 1470
Radiating Lightning; DOM; 1; ; 138
Radiant, Serra Archangel; CMR; 1; Foil; 40
Rabid Bloodsucker; ORI; 1; ; 113
Rabid Bite; M20; 2; ; 190
Rabid Bite; SOI; 1; ; 223
Rabid Bite; ZNR; 2; ; 199
Quintorius, Field Historian; STX; 2; ; 220
Quietus Spike; C17; 1; ; 220
Questing Beast; ELD; 1; ; 171
Quest for the Gravelord; MB1; 1; ; 741
Quench; RNA; 2; ; 48
Queen's Commission; XLN; 1; ; 29
Queen's Bay Soldier; XLN; 1; ; 115
Queen of Ice // Rage of Winter; ELD; 2; ; 61
Queen Marchesa; CMR; 1; ; 531
Quarry Beetle; HOU; 1; ; 127
Quandrix Pledgemage; STX; 2; ; 219
Quandrix Cultivator; STX; 2; ; 218
Quandrix Command; STX; 1; ; 217
Quandrix Campus; STX; 3; ; 271
Quakebringer; KHM; 1; ; 145
Pyromancer's Assault; OGW; 1; ; 115
Pyroclastic Hellion; ZNR; 2; ; 152
Pyroceratops; IKO; 3; ; 130
Pyrite Spellbomb; 2XM; 2; ; 283
Pyrite Spellbomb; 2XM; 1; Foil; 283
Pyre Hound; SOI; 1; ; 174
Pursue Glory; AKH; 1; ; 147
Purple Worm; AFR; 1; ; 201
Purple Worm; AFR; 1; ; 332
Pterodon Knight; XLN; 2; ; 28
Pteramander; RNA; 2; ; 47
Pteramander; PLIST; 1; ; 74
Prying Blade; XLN; 2; ; 244
Prowling Felidar; ZNR; 2; ; 294
Prowling Felidar; ZNR; 2; ; 34
Prowling Felidar; ZNR; 3; Foil; 34
Prowling Caracal; MB1; 2; ; 203
Provoke the Trolls; KHM; 1; ; 144
Proven Combatant; HOU; 2; ; 42
Protection of the Hekma; AKH; 1; ; 23
Protean Thaumaturge; THB; 1; Foil; 60
Protean Raider; RIX; 2; ; 167
Prosperous Pirates; CMR; 3; ; 85
Prosperous Innkeeper; AFR; 1; ; 200
Prophetic Titan; MH2; 1; ; 373
Prophetic Prism; CMR; 1; ; 334
Prophetic Prism; KLD; 1; ; 229
Propeller Pioneer; KLD; 1; ; 24
Promised Kannushi; SOK; 1; ; 141
Promise of Tomorrow; CMR; 1; Foil; 39
Prohibit; MH1; 1; ; 64
Professor's Warning; STX; 1; ; 84
Professor's Warning; STX; 1; Foil; 84
Professor Onyx; STX; 1; ; 83
Professor of Zoomancy; STX; 1; ; 140
Profane Procession; RIX; 1; ; 166
Prizefighter Construct; AER; 1; ; 172
Prison Realm; WAR; 1; ; 26
Prismite; M20; 2; ; 235
Prismite; WAR; 2; ; 242
Prismatic Lens; TSR; 1; ; 272
Prismatic Geoscope; C16; 1; ; 55
Prismatic Ending; MH2; 1; ; 384
Prismari Pledgemage; STX; 1; ; 215
Prismari Campus; STX; 1; ; 270
Prismari Apprentice; STX; 2; ; 213
Primordial Wurm; DOM; 2; ; 177
Primordial Wurm; WAR; 1; ; 174
Primeval Bounty; M14; 1; ; 190
Primal Plasma; TSR; 2; ; 80
Primal Huntbeast; BBD; 1; ; 208
Primal Empathy; C21; 1; ; 227
Primal Empathy; IKO; 1; ; 200
Primal Command; STA; 1; ; 55
Priest of the Haunted Edge; KHM; 3; ; 104
Priest of Ancient Lore; AFR; 1; ; 35
Pride Sovereign; HOU; 1; ; 126
Pride of the Perfect; CMR; 1; ; 144
Pride of Conquerors; RIX; 1; ; 17
Prickly Marmoset; IKO; 1; ; 129
Price of Loyalty; AFR; 1; ; 159
Price of Fame; GRN; 1; ; 83
Price of Fame; ZNC; 1; ; 52
Price of Betrayal; WAR; 1; ; 102
Prey's Vengeance; IMA; 1; ; 182
Prey Upon; AER; 2; ; 120
Prey Upon; GRN; 4; ; 143
Pressure Point; ZNR; 3; ; 33
Preordain; CMR; 1; ; 84
Predatory Impetus; C20; 1; ; 62
Predator's Rapport; GTC; 2; ; 129
Precognition Field; DOM; 1; ; 61
Precise Strike; AER; 1; ; 92
Precipitous Drop; AFR; 4; ; 115
Practiced Tactics; ZNR; 3; ; 32
Practical Research; STX; 1; ; 212
Powerstone Shard; DOM; 2; ; 227
Power Word Kill; AFR; 2; ; 114
Power of Persuasion; AFR; 1; ; 67
Pouncing Shoreshark; IKO; 3; ; 64
Pouncing Lynx; WAR; 6; ; 25
Pouncing Cheetah; AKH; 4; ; 179
Pounce; XLN; 1; ; 200
Poultice Sliver; TSR; 1; ; 33
Poultice Sliver; TSR; 1; Foil; 33
Potion of Healing; AFR; 2; ; 34
Portent of Betrayal; THB; 2; ; 149
Portcullis Vine; GRN; 2; ; 142
Portable Hole; AFR; 1; ; 33
Port of Karfell; KHM; 1; ; 265
Porphyry Nodes; TSR; 1; Foil; 32
Porcuparrot; IKO; 1; ; 293
Porcuparrot; IKO; 1; Foil; 128
Pop Quiz; STX; 1; ; 49
Pop Quiz; STX; 1; Foil; 49
Ponyback Brigade; KTK; 1; ; 191
Pondering Mage; MH1; 1; ; 63
Pollywog Symbiote; IKO; 2; ; 63
Pollenbright Druid; WAR; 3; ; 173
Plundering Barbarian; AFR; 2; ; 158
Plundering Barbarian; AFR; 1; Foil; 158
Plummet; AFR; 1; ; 199
Plummet; M20; 1; ; 188
Plummet; IKO; 3; ; 169
Plummet; A25; 1; ; 183
Plummet; RIX; 1; ; 143
Plumb the Forbidden; STX; 2; ; 81
Pledge of Unity; WAR; 2; ; 210
Plea for Guidance; BNG; 1; ; 24
Plaxcaster Frogling; C21; 1; ; 226
Plated Crusher; BFZ; 1; ; 183
Plate Armor; AFR; 1; ; 32
Plargg, Dean of Chaos; STX; 1; ; 328
Planebound Accomplice; MH1; 1; ; 140
Planar Outburst; ZNC; 1; ; 19
Planar Ally; AFR; 2; ; 31
Plaguecrafter; GRN; 1; ; 82
Plague Wight; RNA; 1; ; 82
Pitiless Pontiff; RNA; 1; ; 194
Pitiless Plunderer; RIX; 1; ; 81
Pitiless Gorgon; GRN; 3; ; 218
Pit Keeper; TSR; 1; ; 130
Pit Fight; GTC; 1; ; 223
Piston-Fist Cyclops; GRN; 2; ; 217
Piru, the Volatile; MH2; 1; Foil; 422
Pirate's Prize; XLN; 3; ; 68
Pirate's Pillage; RIX; 1; ; 109
Pirate's Cutlass; CMR; 1; ; 333
Pirate's Cutlass; XLN; 1; ; 242
Piracy Charm; TSR; 2; ; 78
Pir's Whim; BBD; 1; ; 73
Pious Interdiction; XLN; 2; ; 26
Pious Evangel; SOI; 1; ; 34
Pillardrop Warden; STX; 4; ; 112
Pillardrop Rescuer; STX; 5; ; 23
Pillardrop Rescuer; STX; 1; Foil; 23
Pilgrim of the Ages; STX; 5; ; 22
Pilfering Imp; GRN; 1; ; 81
Pilfering Hawk; KHM; 4; ; 71
Pilfered Plans; DGM; 1; ; 90
Pigment Storm; STX; 1; ; 111
Piercing Rays; MH2; 1; ; 24
Piercing Rays; MH2; 1; Foil; 24
Pierce the Sky; DOM; 2; ; 176
Pierce Strider; BBD; 1; ; 244
Pieces of the Puzzle; SOI; 1; ; 78
Pia's Revolution; AER; 1; ; 91
Phyrexian Rager; CMR; 1; Foil; 142
Pheres-Band Tromper; BNG; 1; ; 134
Pharika's Spawn; THB; 2; ; 112
Pharika's Libation; THB; 1; ; 111
Pharika's Disciple; ORI; 1; ; 194
Pharika's Cure; THS; 2; ; 100
Phantom Monster; IMA; 2; ; 69
Phantasmal Dreadmaw; MH2; 1; ; 339
Pest Summoning; STX; 3; ; 211
Persistent Petitioners; RNA; 1; ; 44
Persist; MH2; 1; ; 96
Perplexing Test; C21; 1; ; 30
Perimeter Sergeant; IKO; 3; ; 27
Perilous Myr; CMR; 1; ; 330
Perilous Myr; CMR; 1; Foil; 330
Peregrine Drake; BBD; 2; ; 128
Pentad Prism; 2XM; 1; ; 281
Pelt Collector; GRN; 1; ; 141
Pelakka Predation; ZNR; 3; ; 120
Pegasus Courser; M19; 1; ; 32
Pearl Lake Ancient; KTK; 2; ; 49
Peace Strider; BBD; 1; ; 243
Pause for Reflection; GRN; 1; ; 140
Path to the World Tree; KHM; 1; ; 186
Path to the World Tree; KHM; 1; Foil; 186
Path of Peace; A25; 1; Foil; 29
Patagia Tiger; IKO; 1; ; 26
Passwall Adept; GRN; 2; ; 50
Parhelion Patrol; GRN; 2; ; 22
Parcelbeast; IKO; 1; ; 304
Parasitic Strix; 2XM; 1; ; 60
Parasitic Impetus; C20; 1; ; 46
Paranoid Parish-Blade; SOI; 1; ; 33
Paradox Zone; C21; 1; ; 64
Paradise Plume; TSR; 1; ; 271
Paradise Druid; WAR; 1; ; 171
Panharmonicon; TSR; 1; ; 399
Pallid Mycoderm; TSR; 2; ; 31
Palladia-Mors, the Ruiner; M19; 1; ; 219
Pale Rider of Trostad; SOI; 1; ; 128
Paladin's Shield; AFR; 1; ; 30
Paladin of the Bloodstained; XLN; 1; ; 25
Palace Sentinels; CMR; 3; ; 36
Pako, Arcane Retriever; C20; 1; Foil; 13
Paired Tactician; ZNR; 2; ; 31
Painted Bluffs; AKH; 2; ; 246
Painful Lesson; AKH; 3; ; 102
Pack's Favor; GRN; 2; ; 139
Pack's Favor; MB1; 1; ; 1288
Pack Mastiff; M20; 4; ; 152
Pack Guardian; SOI; 1; ; 221
Pacifism; IKO; 2; ; 25
Pacifism; A25; 1; ; 28
Owlbear; AFR; 1; ; 198
Overwhelming Denial; OGW; 1; ; 61
Oversimplify; C21; 1; ; 72
Overgrowth Elemental; M20; 1; ; 187
Overgrown Armasaur; RIX; 3; ; 141
Overgrown Arch; STX; 1; ; 139
Overcome; HOU; 1; ; 125
Outrider en-Kor; TSR; 1; ; 30
Outmuscle; ELD; 3; ; 170
Outland Boar; AER; 1; ; 132
Outflank; ELD; 2; ; 23
Out of Time; MH2; 1; ; 23
Otepec Huntmaster; XLN; 1; ; 153
Orzhov Racketeers; RNA; 2; ; 80
Orzhov Locket; RNA; 1; ; 236
Orzhov Keyrune; GTC; 1; ; 233
Orzhov Guildgate; RNA; 5; ; 253
Orzhov Guildgate; WAR; 5; ; 269
Orzhov Basilica; GK2; 4; ; 49
Orvar, the All-Form; KHM; 2; ; 305
Ornithopter of Paradise; MH2; 1; Foil; 430
Ornitharch; BNG; 1; ; 23
Ornery Kudu; AKH; 1; ; 178
Ornery Goblin; GRN; 1; ; 112
Ornery Dilophosaur; M21; 2; ; 194
Ornamental Courage; KLD; 1; ; 164
Oriq Loremage; STX; 1; ; 80
Oreskos Swiftclaw; M19; 2; ; 31
Ordeal of Purphoros; THS; 1; ; 131
Orcish Vandal; DOM; 2; ; 137
Orcish Vandal; 2XM; 1; ; 137
Orcish Cannonade; TSR; 1; ; 178
Orb of Dragonkind; AFR; 1; ; 157
Orazca Relic; RIX; 2; ; 181
Orazca Raptor; RIX; 3; ; 108
Orazca Frillback; RIX; 1; ; 140
Oran-Rief, the Vastwood; C21; 1; ; 307
Orah, Skyclave Hierophant; ZNR; 2; ; 233
Oracle of Nectars; MB1; 1; ; 1529
Opt; M21; 2; ; 59
Opt; DOM; 3; ; 60
Opt; XLN; 1; ; 65
Opt; STA; 2; ; 19
Opt; ELD; 2; ; 59
Opposition Agent; CMR; 2; ; 141
Open the Omenpaths; KHM; 3; ; 143
Open the Omenpaths; KHM; 1; Foil; 143
Open the Gates; RNA; 1; ; 133
Open the Armory; SOI; 1; ; 32
Open Fire; HOU; 3; ; 105
Opal Palace; C17; 1; ; 266
Opal Palace; C21; 1; ; 306
Opal Palace; CMR; 1; ; 352
Opal Palace; CMR; 1; Foil; 352
Oona, Queen of the Fae; ZNC; 1; ; 98
Oona's Blackguard; ZNC; 1; ; 51
Onward // Victory; AKH; 1; ; 218
One With the Wind; XLN; 1; ; 64
Onakke Ogre; M19; 1; ; 153
On Thin Ice; MH1; 1; ; 20
On Serra's Wings; DOM; 2; ; 28
Omnath, Locus of the Roil; M20; 1; ; 216
Omnath, Locus of Rage; PLIST; 1; ; 224
Omnath, Locus of Rage; ZNC; 1; ; 97
Omenspeaker; CMR; 2; ; 83
Omenspeaker; M19; 1; ; 64
Omen of the Hunt; THB; 1; ; 192
Omen of the Forge; THB; 1; ; 145
Omen of the Dead; THB; 2; ; 110
Olivia's Dragoon; EMN; 1; ; 100
Old-Growth Dryads; XLN; 1; ; 199
Oketra's Last Mercy; HOU; 1; ; 18
Oketra's Avenger; HOU; 1; ; 17
Oketra's Attendant; AKH; 1; ; 22
Ogre Slumlord; ZNC; 1; ; 50
Ogre Errant; ELD; 2; ; 132
Oggyar Battle-Seer; STX; 1; ; 209
Of One Mind; IKO; 3; ; 60
Octoprophet; M20; 1; ; 70
Ochre Jelly; AFR; 1; Foil; 196
Obuun, Mul Daya Ancestor; ZNC; 1; Foil; 2
